Model_Name,Mean_SMAPE_Rank,Dataset,x,Input_Window_Size
Stacked GRU adagrad(IW+)  ,14,NN5,y,Large
Stacked GRU adam(IW+)     ,18,NN5,y,Large
Stacked GRU cocob(IW+)    ,6,NN5,y,Large
Stacked LSTM adagrad(IW+) ,12,NN5,y,Large
Stacked LSTM adam(IW+)    ,3,NN5,y,Large
Stacked LSTM cocob(IW+)   ,2,NN5,y,Large
Stacked RNN adagrad(IW+)  ,11,NN5,y,Large
Stacked RNN adam(IW+)     ,10,NN5,y,Large
Stacked RNN cocob(IW+)    ,13,NN5,y,Large
Stacked GRU adagrad,5,NN5,y,Small
Stacked GRU adam ,7,NN5,y,Small
Stacked GRU cocob ,9,NN5,y,Small
Stacked LSTM adagrad,8,NN5,y,Small
Stacked LSTM adam ,1,NN5,y,Small
Stacked LSTM cocob ,4,NN5,y,Small
Stacked RNN adagrad,17,NN5,y,Small
Stacked RNN adam  ,15,NN5,y,Small
Stacked RNN cocob,16,NN5,y,Small
Stacked GRU adagrad(IW+)  ,10,Wikipedia Web Traffic,y,Large
Stacked GRU adam(IW+)     ,1,Wikipedia Web Traffic,y,Large
Stacked GRU cocob(IW+)    ,3,Wikipedia Web Traffic,y,Large
Stacked LSTM adagrad(IW+) ,2,Wikipedia Web Traffic,y,Large
Stacked LSTM adam(IW+)    ,4,Wikipedia Web Traffic,y,Large
Stacked LSTM cocob(IW+)   ,5,Wikipedia Web Traffic,y,Large
Stacked RNN adagrad(IW+)  ,9,Wikipedia Web Traffic,y,Large
Stacked RNN adam(IW+)     ,8,Wikipedia Web Traffic,y,Large
Stacked RNN cocob(IW+)    ,17,Wikipedia Web Traffic,y,Large
Stacked GRU adagrad,15,Wikipedia Web Traffic,y,Small
Stacked GRU adam ,11,Wikipedia Web Traffic,y,Small
Stacked GRU cocob ,7,Wikipedia Web Traffic,y,Small
Stacked LSTM adagrad,12,Wikipedia Web Traffic,y,Small
Stacked LSTM adam ,13,Wikipedia Web Traffic,y,Small
Stacked LSTM cocob ,14,Wikipedia Web Traffic,y,Small
Stacked RNN adagrad,18,Wikipedia Web Traffic,y,Small
Stacked RNN adam  ,6,Wikipedia Web Traffic,y,Small
Stacked RNN cocob,16,Wikipedia Web Traffic,y,Small
