Model_Name,Mean_SMAPE_Rank,Dataset,x,Output_Component
GRUcell_adagrad,25,NN5,y,Decoder
GRUcell_adam,29,NN5,y,Decoder
GRUcell_cocob,27,NN5,y,Decoder
LSTMcell_adagrad,26,NN5,y,Decoder
LSTMcell_adam,23,NN5,y,Decoder
LSTMcell_cocob,11,NN5,y,Decoder
ERNNcell_adagrad,35,NN5,y,Decoder
ERNNcell_adam,24,NN5,y,Decoder
ERNNcell_cocob,18,NN5,y,Decoder
GRUcell_adagrad,34,NN5,y,Dense Layer
GRUcell_adam,15,NN5,y,Dense Layer
GRUcell_cocob,12,NN5,y,Dense Layer
LSTMcell_adagrad,32,NN5,y,Dense Layer
LSTMcell_adam,14,NN5,y,Dense Layer
LSTMcell_cocob,21,NN5,y,Dense Layer
ERNNcell_adagrad,30,NN5,y,Dense Layer
ERNNcell_adam,36,NN5,y,Dense Layer
ERNNcell_cocob,19,NN5,y,Dense Layer
GRUcell_adagrad,33,CIF,y,Decoder
GRUcell_adam,36,CIF,y,Decoder
GRUcell_cocob,26,CIF,y,Decoder
LSTMcell_adagrad,30,CIF,y,Decoder
LSTMcell_adam,24,CIF,y,Decoder
LSTMcell_cocob,28,CIF,y,Decoder
ERNNcell_adagrad,11,CIF,y,Decoder
ERNNcell_adam,29,CIF,y,Decoder
ERNNcell_cocob,12,CIF,y,Decoder
GRUcell_adagrad,22,CIF,y,Dense Layer
GRUcell_adam,10,CIF,y,Dense Layer
GRUcell_cocob,13,CIF,y,Dense Layer
LSTMcell_adagrad,27,CIF,y,Dense Layer
LSTMcell_adam,7,CIF,y,Dense Layer
LSTMcell_cocob,1,CIF,y,Dense Layer
ERNNcell_adagrad,6,CIF,y,Dense Layer
ERNNcell_adam,4,CIF,y,Dense Layer
ERNNcell_cocob,2,CIF,y,Dense Layer
GRUcell_adagrad,30,Wikipedia Web Traffic,y,Decoder
GRUcell_adam,23,Wikipedia Web Traffic,y,Decoder
GRUcell_cocob,3,Wikipedia Web Traffic,y,Decoder
LSTMcell_adagrad,30,Wikipedia Web Traffic,y,Decoder
LSTMcell_adam,20,Wikipedia Web Traffic,y,Decoder
LSTMcell_cocob,36,Wikipedia Web Traffic,y,Decoder
ERNNcell_adagrad,26,Wikipedia Web Traffic,y,Decoder
ERNNcell_adam,24,Wikipedia Web Traffic,y,Decoder
ERNNcell_cocob,18,Wikipedia Web Traffic,y,Decoder
GRUcell_adagrad,35,Wikipedia Web Traffic,y,Dense Layer
GRUcell_adam,4,Wikipedia Web Traffic,y,Dense Layer
GRUcell_cocob,10,Wikipedia Web Traffic,y,Dense Layer
LSTMcell_adagrad,34,Wikipedia Web Traffic,y,Dense Layer
LSTMcell_adam,11,Wikipedia Web Traffic,y,Dense Layer
LSTMcell_cocob,22,Wikipedia Web Traffic,y,Dense Layer
ERNNcell_adagrad,21,Wikipedia Web Traffic,y,Dense Layer
ERNNcell_adam,13,Wikipedia Web Traffic,y,Dense Layer
ERNNcell_cocob,15,Wikipedia Web Traffic,y,Dense Layer
GRUcell_adagrad,36,M3,y,Decoder
GRUcell_adam,16,M3,y,Decoder
GRUcell_cocob,27,M3,y,Decoder
LSTMcell_adagrad,5,M3,y,Decoder
LSTMcell_adam,30,M3,y,Decoder
LSTMcell_cocob,18,M3,y,Decoder
ERNNcell_adagrad,23,M3,y,Decoder
ERNNcell_adam,20,M3,y,Decoder
ERNNcell_cocob,17,M3,y,Decoder
GRUcell_adagrad,4,M3,y,Dense Layer
GRUcell_adam,9,M3,y,Dense Layer
GRUcell_cocob,8,M3,y,Dense Layer
LSTMcell_adagrad,11,M3,y,Dense Layer
LSTMcell_adam,13,M3,y,Dense Layer
LSTMcell_cocob,6,M3,y,Dense Layer
ERNNcell_adagrad,33,M3,y,Dense Layer
ERNNcell_adam,32,M3,y,Dense Layer
ERNNcell_cocob,35,M3,y,Dense Layer
GRUcell_adagrad,20,Tourism,y,Decoder
GRUcell_adam,22,Tourism,y,Decoder
GRUcell_cocob,14,Tourism,y,Decoder
LSTMcell_adagrad,26,Tourism,y,Decoder
LSTMcell_adam,17,Tourism,y,Decoder
LSTMcell_cocob,19,Tourism,y,Decoder
ERNNcell_adagrad,16,Tourism,y,Decoder
ERNNcell_adam,23,Tourism,y,Decoder
ERNNcell_cocob,24,Tourism,y,Decoder
GRUcell_adagrad,27,Tourism,y,Dense Layer
GRUcell_adam,18,Tourism,y,Dense Layer
GRUcell_cocob,25,Tourism,y,Dense Layer
LSTMcell_adagrad,11,Tourism,y,Dense Layer
LSTMcell_adam,13,Tourism,y,Dense Layer
LSTMcell_cocob,12,Tourism,y,Dense Layer
ERNNcell_adagrad,30,Tourism,y,Dense Layer
ERNNcell_adam,9,Tourism,y,Dense Layer
ERNNcell_cocob,5,Tourism,y,Dense Layer
GRUcell_adagrad,7,M4,y,Decoder
GRUcell_adam,35,M4,y,Decoder
GRUcell_cocob,11,M4,y,Decoder
LSTMcell_adagrad,26,M4,y,Decoder
LSTMcell_adam,22,M4,y,Decoder
LSTMcell_cocob,24,M4,y,Decoder
ERNNcell_adagrad,30,M4,y,Decoder
ERNNcell_adam,19,M4,y,Decoder
ERNNcell_cocob,17,M4,y,Decoder
GRUcell_adagrad,5,M4,y,Dense Layer
GRUcell_adam,20,M4,y,Dense Layer
GRUcell_cocob,14,M4,y,Dense Layer
LSTMcell_adagrad,4,M4,y,Dense Layer
LSTMcell_adam,12,M4,y,Dense Layer
LSTMcell_cocob,13,M4,y,Dense Layer
ERNNcell_adagrad,6,M4,y,Dense Layer
ERNNcell_adam,33,M4,y,Dense Layer
ERNNcell_cocob,8,M4,y,Dense Layer
