Model_Name,SMAPE,x
RNN,0.115678183645829,v
RNN,0.116617371249592,v
RNN,0.107874597988492,v
RNN,0.112293234159407,v
RNN,0.107086873686261,v
RNN,0.110381200765975,v
RNN,0.104692441551635,v
RNN,0.111864697382391,v
RNN,0.104758090993817,v
RNN,0.115989831968035,v
RNN,0.106625164315673,v
RNN,0.103001673321919,v
RNN,0.106466304626681,v
RNN,0.104101144039249,v
RNN,0.104781446565114,v
RNN,0.115777784066819,v
RNN,0.10283568095871,v
RNN,0.112297476063185,v
RNN,0.108110367705898,v
RNN,0.103351514976118,v
S2SD_LSTM_NMW_COCOB,0.102347557764863,v
RNN,0.113443301078626,v
RNN,0.107304152158793,v
RNN,0.103877899315782,v
RNN,0.103112360999266,v
RNN,0.102973540149426,v
RNN,0.102789877390723,v
RNN,0.105428505845567,v
RNN,0.105473757906031,v
RNN,0.105384974552268,v
RNN,0.105071682338941,v
RNN,0.105050859139382,v
Stacked_LSTM_COCOB,0.103974479975074,v
RNN,0.105322145948158,v
RNN,0.105136843069765,v
RNN,0.105695027506853,v
ETS,0.118799955336296,v
ARIMA,0.113962407259663,v
