Model_Name,Median_SMAPE,x
ARIMA,0.086916878569838,v
ETS,0.084179233305467,v
RNN,0.099162632854402,v
RNN,0.096473980376191,v
RNN,0.092980661011618,v
RNN,0.092507897004981,v
RNN,0.097970764375727,v
RNN,0.115673399369595,v
RNN,0.093528561273744,v
RNN,0.096925645332507,v
RNN,0.091683750684686,v
RNN,0.092184977368648,v
RNN,0.091166292645971,v
RNN,0.091778927895529,v
RNN,0.096100869800885,v
RNN,0.097523694717171,v
RNN,0.098361456466802,v
RNN,0.092236191101015,v
RNN,0.091952231304499,v
RNN,0.090934600140542,v
RNN,0.096416579081458,v
RNN,0.09802038546368,v
RNN,0.097860507455173,v
RNN,0.093138736829613,v
RNN,0.092902938382556,v
RNN,0.093037960445532,v
RNN,0.096845296200553,v
RNN,0.099055727280165,v
RNN,0.096973488552361,v
RNN,0.09550620731696,v
RNN,0.097539759796429,v
RNN,0.093839939790681,v
RNN,0.096194765455535,v
RNN,0.097669363822109,v
RNN,0.096193900769967,v
RNN,0.098957206172192,v
RNN,0.098624991034385,v
RNN,0.098240742590659,v
