Model_Name,Mean_SMAPE,x
ARIMA,0.135677694329995,v
ETS,0.136754327102228,v
RNN,0.14070607317522,v
RNN,0.145721897996168,v
RNN,0.143062919692987,v
RNN,0.140256307076262,v
RNN,0.141697488216861,v
RNN,0.142941206529801,v
RNN,0.155619877006471,v
RNN,0.141917061070214,v
RNN,0.146852182096008,v
RNN,0.139816157217886,v
RNN,0.142345155068248,v
RNN,0.140032577407505,v
RNN,0.140670639151433,v
RNN,0.141269231358163,v
RNN,0.141818893821749,v
RNN,0.139791304973575,v
RNN,0.142750820547156,v
RNN,0.139882796667118,v
RNN,0.140663797944525,v
RNN,0.140059870871472,v
RNN,0.141249287955154,v
RNN,0.139837610741976,v
RNN,0.1432665770847,v
RNN,0.147737954541312,v
RNN,0.139841182010938,v
RNN,0.14109610729844,v
RNN,0.140452774395884,v
RNN,0.142684596761885,v
RNN,0.145444903798186,v
RNN,0.143351059012025,v
RNN,0.142838719267681,v
RNN,0.144388143015033,v
RNN,0.148550267884233,v
RNN,0.143358183248993,v
RNN,0.147321819984636,v
RNN,0.14581422136919,v
